symbol,name,asset_class,attributes,exchange,status,tradable
PIZ,Invesco Exchange-Traded Fund Trust II Invesco Dorsey Wright Developed Markets Momentum ETF,us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PKBK,"Parke Bancorp, Inc. Common Stock",us_equity,['has_options'],NASDAQ,active,True
PKOH,Park-Ohio Holdings Corp. Common Stock,us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PKW,Invesco Exchange-Traded Fund Trust Invesco BuyBack Achievers ETF,us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PLAB,"Photronics, Inc. Common Stock",us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PLAY,"Dave & Buster's Entertainment, Inc. Common Stock",us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PLBY,"PLBY Group, Inc. Common Stock",us_equity,['has_options'],NASDAQ,active,True
PLCE,"Children's Place, Inc. (The) Common Stock",us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PLL,Piedmont Lithium Inc. Common Stock,us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PLMKU,Plum Acquisition Corp. IV Unit,us_equity,[],NASDAQ,active,True
PLMKW,Plum Acquisition Corp. IV Warrants,us_equity,[],NASDAQ,active,True
PLMR,"Palomar Holdings, Inc. Common stock",us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PLPC,Preformed Line Products Company Common Stock,us_equity,['fractional_eh_enabled'],NASDAQ,active,True
PLRX,"Pliant Therapeutics, Inc. Common Stock",us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PLRZ,Polyrizon Ltd. Ordinary Shares,us_equity,[],NASDAQ,active,True
PLSE,"Pulse Biosciences, Inc Common Stock (DE)",us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PLTD,Direxion Shares ETF Trust Direxion Daily PLTR Bear 1X Shares,us_equity,[],NASDAQ,active,True
PLTK,Playtika Holding Corp. Common Stock,us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PLTR,Palantir Technologies Inc. Class A Common Stock,us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PLTU,Direxion Shares ETF Trust Direxion Daily PLTR Bull 2X Shares,us_equity,[],NASDAQ,active,True
PLUG,"Plug Power, Inc. Common Stock",us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PLUR,Pluri Inc. Common Stock,us_equity,['has_options'],NASDAQ,active,True
PLUS,ePlus inc. Common Stock,us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PLUT,Plutus Financial Group Limited Ordinary Shares,us_equity,[],NASDAQ,active,True
PLXS,Plexus Corp. Common Stock,us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PLYA,Playa Hotels & Resorts N.V. Ordinary Shares,us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PMAX,Powell Max Limited Class A Ordinary Shares,us_equity,[],NASDAQ,active,True
PMBS,PIMCO ETF Trust PIMCO Mortgage-Backed Securities Active Exchange-Traded Fund,us_equity,[],NASDAQ,active,True
PMCB,"PharmaCyte Biotech, Inc. Common Stock",us_equity,['has_options'],NASDAQ,active,True
PMEC,Primech Holdings Ltd. Ordinary Shares,us_equity,[],NASDAQ,active,True
PMN,ProMIS Neurosciences Inc. Common Shares (ON),us_equity,[],NASDAQ,active,True
